Date,Name,Year,Letterboxd URI,Rating
2023-09-23,Benji,2018,https://boxd.it/hQUy,3
2023-09-23,What a Beautiful Day,2011,https://boxd.it/wQC,3
2023-09-23,Spider-Man: Homecoming,2017,https://boxd.it/aboM,2
2023-09-23,The Avengers,2012,https://boxd.it/1xFW,2.5
2023-09-23,Bohemian Rhapsody,2018,https://boxd.it/f1TK,2.5
2023-09-23,It,2017,https://boxd.it/bC8e,2.5
2023-09-23,Suicide Squad,2016,https://boxd.it/9row,2
2023-09-23,Venom,2018,https://boxd.it/b8wA,2.5
2023-09-23,Ant-Man and the Wasp: Quantumania,2023,https://boxd.it/nL2y,2.5
2023-09-23,It Chapter Two,2019,https://boxd.it/h10u,2
2023-09-23,Scream VI,2023,https://boxd.it/zdfW,2.5
2023-09-23,The Cabin in the Woods,2011,https://boxd.it/1zOc,2.5
2023-09-23,World War Z,2013,https://boxd.it/2p2E,2.5
2023-09-23,Paddington 2,2017,https://boxd.it/bCF8,2.5
2023-09-23,Scary Movie,2000,https://boxd.it/24CG,2.5
2023-09-23,Halloween Kills,2021,https://boxd.it/mxzG,2.5
2023-09-23,Cloudy with a Chance of Meatballs,2009,https://boxd.it/1A40,2.5
2023-09-23,The Old Guard,2020,https://boxd.it/jY2e,2.5
2023-09-23,Happy Death Day 2U,2019,https://boxd.it/ixt6,2
2023-09-23,The Pope's Exorcist,2023,https://boxd.it/stZ8,2.5
2023-09-23,Central Intelligence,2016,https://boxd.it/9DFE,2
2023-09-23,Hachi: A Dog's Tale,2009,https://boxd.it/1q4a,2.5
2023-09-23,Knock Knock,2015,https://boxd.it/7Q9s,2.5
2023-09-23,Mowgli: Legend of the Jungle,2018,https://boxd.it/el2E,2.5
2023-09-23,Naked,2017,https://boxd.it/fmDe,2.5
2023-09-23,Dragon Ball Z: Broly - The Legendary Super Saiyan,1993,https://boxd.it/1dTu,2.5
2023-09-23,Dragon Ball Z: The Tree of Might,1990,https://boxd.it/14t8,2.5
2023-09-23,My Best Friend Anne Frank,2021,https://boxd.it/tDCK,2.5
2023-09-23,Lost Bullet,2020,https://boxd.it/qqKg,2.5
2023-09-23,Diana,2013,https://boxd.it/3VEM,2.5
2023-09-23,Ghostbusters: Afterlife,2021,https://boxd.it/f4Pw,2.5
2023-09-23,Extraction,2020,https://boxd.it/jUjA,2.5
2023-09-23,Fast X,2023,https://boxd.it/drIu,2.5
2023-09-23,Secchi,2013,https://boxd.it/z8Xu,2.5
2023-09-23,Iqbal,1998,https://boxd.it/KEU,3
2023-09-23,No Hard Feelings,2023,https://boxd.it/xouu,2
2023-09-23,Airplane Mode,2020,https://boxd.it/ofFK,1
2023-09-23,Mega Shark vs. Giant Octopus,2009,https://boxd.it/1HRS,1
2023-09-23,2AM: The Smiling Man,2013,https://boxd.it/xDlC,1.5
2023-09-23,The Christmas Chronicles,2018,https://boxd.it/ja7e,1.5
2023-09-23,The Babysitter: Killer Queen,2020,https://boxd.it/n4VA,1.5
2023-09-23,Grown Ups,2010,https://boxd.it/169a,1.5
2023-09-23,"Monsters, Inc.",2001,https://boxd.it/2a46,3
2023-09-23,The Lego Batman Movie,2017,https://boxd.it/azp0,2.5
