Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-05-21,Journey to Italy,1954,https://boxd.it/6w7llJ,3,,netflix,2024-05-21
2024-06-02,Damage,1992,https://boxd.it/6AMdMZ,3.5,,prime,2024-06-01
2024-06-08,Lost in Translation,2003,https://boxd.it/6D8nRR,3.5,,prime,2024-06-07
2024-06-10,Coherence,2013,https://boxd.it/6DXgc5,3.5,,prime,2024-06-08
2024-06-10,The Witch,2015,https://boxd.it/6E1Sgx,4.5,,netflix,2024-06-09
2024-06-12,Jackie Brown,1997,https://boxd.it/6EOgBZ,4,,netflix,2024-06-11
2024-06-14,Eric,2024,https://boxd.it/6FAS1L,3.5,,netflix,2024-06-13
2024-06-15,The Devil Wears Prada,2006,https://boxd.it/6FX81B,4.5,,netflix,2024-06-14
2024-06-17,Raging Bull,1980,https://boxd.it/6H6bEj,4,,prime,2024-06-17
2024-06-18,Hours,2013,https://boxd.it/6HgPqh,3,,netflix,2024-06-17
2024-06-22,Inside Out 2,2024,https://boxd.it/6IIIAT,4,,cinema,2024-06-21
2024-07-03,Inside Out,2015,https://boxd.it/6Ncl55,3.5,Yes,netflix,2024-07-02
2024-07-05,Don't Worry Darling,2022,https://boxd.it/6NTMct,4,,prime,2024-07-04
2024-07-12,The Karate Kid,1984,https://boxd.it/6RaMOj,4,Yes,prime,2024-07-11
2024-07-13,The Next Karate Kid,1994,https://boxd.it/6ROl1f,3,,prime,2024-07-13
2024-07-18,The Green Mile,1999,https://boxd.it/6TL1oZ,4.5,,prime,2024-07-17
2024-07-27,Deadpool & Wolverine,2024,https://boxd.it/6Y1lXD,3.5,,cinema,2024-07-26
2024-08-02,Eastern Promises,2007,https://boxd.it/70usXh,3,,prime,2024-08-01
2024-08-02,Immaculate,2024,https://boxd.it/70ECZx,3.5,,cinema,2024-08-01
2024-08-03,My Stepmom's Daughter Is My Ex,2022,https://boxd.it/70TtrL,2.5,,streaming,2024-08-02
2024-08-05,The Dreamers,2003,https://boxd.it/71VOhb,3.5,,streaming,2024-08-04
2024-08-05,Dimensions of Dialogue,1983,https://boxd.it/72d2e5,4,,,2024-08-05
2024-08-05,"Darkness, Light, Darkness",1990,https://boxd.it/72eqTt,4,,,2024-08-05
2024-08-06,The Margin,1976,https://boxd.it/72DdQh,2.5,,streaming,2024-08-06
2024-08-10,What Men Want,2019,https://boxd.it/73T43V,2.5,,netflix,2024-08-09
2024-08-11,The Silence of the Lambs,1991,https://boxd.it/74JU1V,4,,streaming,2024-08-10
2024-08-19,Tolo Tolo,2020,https://boxd.it/78yVoZ,3.5,Yes,netflix,2024-08-19
2024-08-20,Ask Me If I'm Happy,2000,https://boxd.it/78AJQr,3.5,,netflix,2024-08-19
2024-08-20,Three Men and a Leg,1997,https://boxd.it/78CUfP,4,Yes,netflix,2024-08-19
2024-08-21,Cado dalle nubi,2009,https://boxd.it/7939N5,3.5,Yes,netflix,2024-08-20
2024-08-21,The Killing of a Sacred Deer,2017,https://boxd.it/79qaor,4,,prime,2024-08-21
2024-08-23,Requiem for a Dream,2000,https://boxd.it/7afhzX,5,,streaming,2024-08-23
2024-08-25,Le Pupille,2022,https://boxd.it/7bfeml,4,,prime,2024-08-25
2024-08-27,Youth,2015,https://boxd.it/7bUnaZ,4.5,,netflix,2024-08-26
2024-08-27,Paradise,1994,https://boxd.it/7bUsiJ,4,Yes,,2024-08-26
2024-08-29,That's Life,1998,https://boxd.it/7cIpbv,4,,netflix,2024-08-28
2024-08-30,Orphan: First Kill,2022,https://boxd.it/7dhDF5,2,,netflix,2024-08-29
2024-09-01,Anatomy of a Fall,2023,https://boxd.it/7dXH5z,4.5,,streaming,2024-08-31
2024-09-01,Loro,2018,https://boxd.it/7e3ZOf,4.5,,streaming,2024-08-31
2024-09-01,Sabbia,2014,https://boxd.it/7e49Lv,3,,,2024-08-31
2024-09-08,Perfect Blue,1997,https://boxd.it/7hesVr,5,,streaming,2024-09-07
2024-09-09,Ani*Kuri15,2007,https://boxd.it/7hMzjx,4,,,2024-09-08
2024-09-09,Stand by Me,1986,https://boxd.it/7igaJF,3.5,,prime,2024-09-09
2024-09-10,The Metamorphosis,2024,https://boxd.it/7iFXpz,3,,prime,2024-09-10
2024-09-11,The Metamorphosis of Mr. Samsa,1977,https://boxd.it/7iGRmL,3.5,,prime,2024-09-10
2024-09-13,Speak No Evil,2024,https://boxd.it/7jCP7F,4,,cinema,2024-09-13
2024-09-17,Rango,2011,https://boxd.it/7lzaiT,5,Yes,netflix,2024-09-16
2024-09-25,Closing Time,2024,https://boxd.it/7oZ5Dh,3,,,2024-09-25
2024-09-27,Old,2021,https://boxd.it/7pKHMb,4,Yes,netflix,2024-09-26
2024-10-06,Joker: Folie à Deux,2024,https://boxd.it/7tZxpn,3.5,,cinema,2024-10-05
2024-10-10,The Platform 2,2024,https://boxd.it/7vVd3h,3.5,,netflix,2024-10-09
2024-10-12,The Party,2017,https://boxd.it/7wAQUL,4,,prime,2024-10-11
